,State,year_month,counts,Census,counts per million
362,NE,2017-04,510.0,1961504.0,26.00045679233894
363,NE,2017-05,407.0,1961504.0,20.749384146043035
364,NE,2017-06,515.0,1961504.0,26.25536323147952
365,NE,2017-07,410.0,1961504.0,20.90232800952738
366,NE,2017-08,536.0,1961504.0,27.325970275869945
367,NE,2017-09,507.0,1961504.0,25.847512928854595
368,NE,2017-10,581.0,1961504.0,29.620128228135144
369,NE,2017-11,587.0,1961504.0,29.92601595510384
370,NE,2017-12,571.0,1961504.0,29.11031534985399
371,NE,2018-01,612.0,1961504.0,31.20054815080673
372,NE,2018-02,553.0,1961504.0,28.19265216894791
373,NE,2018-03,428.0,1961504.0,21.819991190433463
374,NE,2018-04,445.0,1961504.0,22.68667308351143
375,NE,2018-05,480.0,1961504.0,24.47101815749547
376,NE,2018-06,336.0,1961504.0,17.12971271024683
377,NE,2018-07,358.0,1961504.0,18.251301042465375
378,NE,2018-08,521.0,1961504.0,26.561250958448213
379,NE,2018-09,514.0,1961504.0,26.204381943651402
380,NE,2018-10,634.0,1961504.0,32.32213648302527
381,NE,2018-11,466.0,1961504.0,23.757280127901854
382,NE,2018-12,504.0,1961504.0,25.69456906537025
383,NE,2019-01,502.0,1961504.0,25.592606489714015
384,NE,2019-02,554.0,1961504.0,28.243633456776028
385,NE,2019-03,409.0,1961504.0,20.85134672169927
386,NE,2019-04,362.0,1961504.0,18.455226193777836
387,NE,2019-05,426.0,1961504.0,21.718028614777232
388,NE,2019-06,389.0,1961504.0,19.831720965136956
389,NE,2019-07,406.0,1961504.0,20.698402858214923
390,NE,2019-08,286.0,1961504.0,14.580648318841051
391,NE,2019-09,251.0,1961504.0,12.796303244857008
392,NE,2019-10,380.0,1961504.0,19.372889374683915
393,NE,2019-11,326.0,1961504.0,16.619899831965675
394,NE,2019-12,351.0,1961504.0,17.894432027668564
409,IA,2016-05,129.0,3190369.0,4.043419428912455
410,IA,2016-06,156.0,3190369.0,4.889716518684829
411,IA,2016-07,132.0,3190369.0,4.137452438887164
412,IA,2016-08,147.0,3190369.0,4.607617488760704
413,IA,2016-09,237.0,3190369.0,7.428607788001952
414,IA,2016-10,318.0,3190369.0,9.967499057319076
415,IA,2016-11,366.0,3190369.0,11.472027216914407
416,IA,2016-12,387.0,3190369.0,12.130258286737366
417,IA,2017-01,314.0,3190369.0,9.842121710686131
418,IA,2017-02,313.0,3190369.0,9.810777374027895
419,IA,2017-03,231.0,3190369.0,7.240541768052537
420,IA,2017-04,256.0,3190369.0,8.024150184508438
421,IA,2017-05,169.0,3190369.0,5.297192895241898
422,IA,2017-06,219.0,3190369.0,6.864409728153702
423,IA,2017-07,261.0,3190369.0,8.180871867799619
424,IA,2017-08,260.0,3190369.0,8.149527531141382
425,IA,2017-09,212.0,3190369.0,6.64499937154605
426,IA,2017-10,169.0,3190369.0,5.297192895241898
427,IA,2017-11,310.0,3190369.0,9.716744364053186
428,IA,2017-12,302.0,3190369.0,9.465989670787296
429,IA,2018-01,208.0,3190369.0,6.519622024913105
430,IA,2018-02,370.0,3190369.0,11.597404563547352
431,IA,2018-03,193.0,3190369.0,6.049456975039565
432,IA,2018-04,232.0,3190369.0,7.271886104710772
433,IA,2018-05,211.0,3190369.0,6.613655034887814
434,IA,2018-06,196.0,3190369.0,6.1434899850142735
435,IA,2018-07,137.0,3190369.0,4.294174122178344
436,IA,2018-08,174.0,3190369.0,5.4539145785330785
437,IA,2018-09,123.0,3190369.0,3.8553534089630386
438,IA,2018-10,196.0,3190369.0,6.1434899850142735
439,IA,2018-11,228.0,3190369.0,7.146508758077828
440,IA,2018-12,215.0,3190369.0,6.739032381520759
441,IA,2019-01,365.0,3190369.0,11.44068288025617
442,IA,2019-02,313.0,3190369.0,9.810777374027895
443,IA,2019-03,155.0,3190369.0,4.858372182026593
444,IA,2019-04,163.0,3190369.0,5.109126875292482
445,IA,2019-05,190.0,3190369.0,5.955423965064856
446,IA,2019-06,164.0,3190369.0,5.140471211950718
447,IA,2019-07,203.0,3190369.0,6.362900341621925
448,IA,2019-08,229.0,3190369.0,7.177853094736064
449,IA,2019-09,217.0,3190369.0,6.8017210548372296
450,IA,2019-10,295.0,3190369.0,9.246579314179645
451,IA,2019-11,284.0,3190369.0,8.901791610939048
452,IA,2019-12,265.0,3190369.0,8.306249214432563
467,IL,2016-05,0.0,12812508.0,0.0
468,IL,2016-06,919.0,12812508.0,7.172678448278823
469,IL,2016-07,2195.0,12812508.0,17.13169662020894
470,IL,2016-08,2832.0,12812508.0,22.103400832998506
471,IL,2016-09,2559.0,12812508.0,19.97267045608869
472,IL,2016-10,2590.0,12812508.0,20.214621524528997
473,IL,2016-11,3061.0,12812508.0,23.89071679018659
474,IL,2016-12,2920.0,12812508.0,22.79022967244196
475,IL,2017-01,2392.0,12812508.0,18.669256635781224
476,IL,2017-02,2378.0,12812508.0,18.55998841132431
477,IL,2017-03,2526.0,12812508.0,19.715109641297396
478,IL,2017-04,2337.0,12812508.0,18.239988611129064
479,IL,2017-05,1987.0,12812508.0,15.508282999706225
480,IL,2017-06,2339.0,12812508.0,18.25559835748005
481,IL,2017-07,1730.0,12812508.0,13.502430593604313
482,IL,2017-08,1822.0,12812508.0,14.220478925749743
483,IL,2017-09,1710.0,12812508.0,13.346333130094436
484,IL,2017-10,2247.0,12812508.0,17.537550025334617
485,IL,2017-11,2060.0,12812508.0,16.078038741517275
486,IL,2017-12,1761.0,12812508.0,13.74438166204462
487,IL,2018-01,2306.0,12812508.0,17.998037542688753
488,IL,2018-02,2132.0,12812508.0,16.639989610152828
489,IL,2018-03,1958.0,12812508.0,15.281941677616903
490,IL,2018-04,1565.0,12812508.0,12.214626519647831
491,IL,2018-05,1814.0,12812508.0,14.158039940345793
492,IL,2018-06,1760.0,12812508.0,13.736576788869128
493,IL,2018-07,1872.0,12812508.0,14.610722584524437
494,IL,2018-08,1984.0,12812508.0,15.484868380179742
495,IL,2018-09,2169.0,12812508.0,16.9287699176461
496,IL,2018-10,2749.0,12812508.0,21.455596359432516
497,IL,2018-11,2250.0,12812508.0,17.560964644861098
498,IL,2018-12,1503.0,12812508.0,11.730724382767214
499,IL,2019-01,2055.0,12812508.0,16.039014375639802
500,IL,2019-02,1698.0,12812508.0,13.25267465198851
501,IL,2019-03,1519.0,12812508.0,11.855602353575115
502,IL,2019-04,1666.0,12812508.0,13.002918710372708
503,IL,2019-05,1777.0,12812508.0,13.86925963285252
504,IL,2019-06,1537.0,12812508.0,11.996090070734004
505,IL,2019-07,1362.0,12812508.0,10.630237265022586
506,IL,2019-08,1422.0,12812508.0,11.098529655552214
507,IL,2019-09,1266.0,12812508.0,9.88096944017518
508,IL,2019-10,1871.0,12812508.0,14.602917711348942
509,IL,2019-11,1905.0,12812508.0,14.86828339931573
510,IL,2019-12,1885.0,12812508.0,14.712185935805854
525,MO,2016-05,21.0,6154913.0,0.34119085030121465
526,MO,2016-06,194.0,6154913.0,3.151953569449317
527,MO,2016-07,472.0,6154913.0,7.668670540103491
528,MO,2016-08,638.0,6154913.0,10.365702975817854
529,MO,2016-09,561.0,6154913.0,9.114669858046735
530,MO,2016-10,547.0,6154913.0,8.887209291179259
531,MO,2016-11,623.0,6154913.0,10.121995225602701
532,MO,2016-12,678.0,6154913.0,11.01559030972493
533,MO,2017-01,627.0,6154913.0,10.186983958993409
534,MO,2017-02,521.0,6154913.0,8.46478252413966
535,MO,2017-03,634.0,6154913.0,10.300714242427148
536,MO,2017-04,526.0,6154913.0,8.546018440878042
537,MO,2017-05,458.0,6154913.0,7.441209973236015
538,MO,2017-06,465.0,6154913.0,7.554940256669752
539,MO,2017-07,439.0,6154913.0,7.132513489630154
540,MO,2017-08,816.0,6154913.0,13.25770161170434
541,MO,2017-09,676.0,6154913.0,10.983095943029577
542,MO,2017-10,752.0,6154913.0,12.21788187745302
543,MO,2017-11,698.0,6154913.0,11.340533976678469
544,MO,2017-12,760.0,6154913.0,12.347859344234436
545,MO,2018-01,770.0,6154913.0,12.510331177711205
546,MO,2018-02,810.0,6154913.0,13.16021851161828
547,MO,2018-03,849.0,6154913.0,13.793858662177678
548,MO,2018-04,741.0,6154913.0,12.039162860628574
549,MO,2018-05,769.0,6154913.0,12.494083994363526
550,MO,2018-06,593.0,6154913.0,9.634579725172395
551,MO,2018-07,540.0,6154913.0,8.77347900774552
552,MO,2018-08,641.0,6154913.0,10.414444525860885
553,MO,2018-09,629.0,6154913.0,10.219478325688764
554,MO,2018-10,818.0,6154913.0,13.290195978399696
555,MO,2018-11,948.0,6154913.0,15.40232981359769
556,MO,2018-12,649.0,6154913.0,10.5444219926423
557,MO,2019-01,792.0,6154913.0,12.867769211360095
558,MO,2019-02,1012.0,6154913.0,16.442149547849013
559,MO,2019-03,791.0,6154913.0,12.851522028012418
560,MO,2019-04,959.0,6154913.0,15.581048830422137
561,MO,2019-05,858.0,6154913.0,13.940083312306772
562,MO,2019-06,711.0,6154913.0,11.551747360198268
563,MO,2019-07,680.0,6154913.0,11.048084676420283
564,MO,2019-08,629.0,6154913.0,10.219478325688764
565,MO,2019-09,560.0,6154913.0,9.098422674699057
566,MO,2019-10,802.0,6154913.0,13.030241044836865
567,MO,2019-11,640.0,6154913.0,10.398197342513209
568,MO,2019-12,691.0,6154913.0,11.22680369324473
583,WI,2016-05,4.0,5893718.0,0.06786887326472016
584,WI,2016-06,99.0,5893718.0,1.679754613301824
585,WI,2016-07,214.0,5893718.0,3.6309847196625284
586,WI,2016-08,279.0,5893718.0,4.733853910214232
587,WI,2016-09,197.0,5893718.0,3.342542008287468
588,WI,2016-10,231.0,5893718.0,3.91942743103759
589,WI,2016-11,280.0,5893718.0,4.750821128530411
590,WI,2016-12,256.0,5893718.0,4.34360788894209
591,WI,2017-01,255.0,5893718.0,4.326640670625911
592,WI,2017-02,227.0,5893718.0,3.8515585577728695
593,WI,2017-03,242.0,5893718.0,4.10606683251557
594,WI,2017-04,191.0,5893718.0,3.2407386983903876
595,WI,2017-05,244.0,5893718.0,4.14000126914793
596,WI,2017-06,239.0,5893718.0,4.05516517756703
597,WI,2017-07,231.0,5893718.0,3.91942743103759
598,WI,2017-08,545.0,5893718.0,9.247133982318122
599,WI,2017-09,523.0,5893718.0,8.873855179362161
600,WI,2017-10,495.0,5893718.0,8.39877306650912
601,WI,2017-11,468.0,5893718.0,7.9406581719722595
602,WI,2017-12,443.0,5893718.0,7.516477714067758
603,WI,2018-01,509.0,5893718.0,8.63631412293564
604,WI,2018-02,430.0,5893718.0,7.295903875957418
605,WI,2018-03,375.0,5893718.0,6.362706868567516
606,WI,2018-04,384.0,5893718.0,6.515411833413136
607,WI,2018-05,411.0,5893718.0,6.973526727949998
608,WI,2018-06,403.0,5893718.0,6.837788981420557
609,WI,2018-07,299.0,5893718.0,5.073198276537832
610,WI,2018-08,300.0,5893718.0,5.090165494854013
611,WI,2018-09,348.0,5893718.0,5.904591974030654
612,WI,2018-10,442.0,5893718.0,7.4995104957515775
613,WI,2018-11,666.0,5893718.0,11.300167398575907
614,WI,2018-12,464.0,5893718.0,7.872789298707539
615,WI,2019-01,837.0,5893718.0,14.201561730642695
616,WI,2019-02,843.0,5893718.0,14.303365040539774
617,WI,2019-03,509.0,5893718.0,8.63631412293564
618,WI,2019-04,448.0,5893718.0,7.601313805648659
619,WI,2019-05,543.0,5893718.0,9.213199545685763
620,WI,2019-06,450.0,5893718.0,7.635248242281018
621,WI,2019-07,454.0,5893718.0,7.703117115545739
622,WI,2019-08,516.0,5893718.0,8.755084651148902
623,WI,2019-09,638.0,5893718.0,10.825085285722865
624,WI,2019-10,703.0,5893718.0,11.92795447627457
625,WI,2019-11,502.0,5893718.0,8.517543594722381
626,WI,2019-12,446.0,5893718.0,7.567379369016298
641,IN,2016-05,58.0,6785528.0,0.854760307525074
